id,pdga_event_id,continual_id,created_at,updated_at
32,9649,1,2021-09-14 17:59:36,2021-09-14 17:59:36
33,11030,1,2021-09-14 17:59:36,2021-09-14 17:59:36
34,12534,1,2021-09-14 17:59:36,2021-09-14 17:59:36
35,14325,1,2021-09-14 17:59:36,2021-09-14 17:59:36
36,16382,1,2021-09-14 17:59:36,2021-09-14 17:59:36
37,19532,1,2021-09-14 17:59:36,2021-09-14 17:59:36
38,24333,1,2021-09-14 17:59:36,2021-09-14 17:59:36
39,31343,1,2021-09-14 17:59:36,2021-09-14 17:59:36
40,34303,1,2021-09-14 17:59:36,2021-09-14 17:59:36
41,38873,1,2021-09-14 17:59:36,2021-09-14 17:59:36
42,44653,1,2021-09-14 17:59:36,2021-09-14 17:59:36
43,49214,1,2021-09-14 17:59:36,2021-09-14 17:59:36
44,7290,1,2021-09-14 17:59:36,2021-09-14 17:59:36
45,8397,1,2021-09-14 17:59:36,2021-09-14 17:59:36
47,25011,2,2021-09-14 18:01:04,2021-09-14 18:01:04
48,32553,2,2021-09-14 18:01:04,2021-09-14 18:01:04
49,40853,2,2021-09-14 18:01:04,2021-09-14 18:01:04
50,44114,2,2021-09-14 18:01:04,2021-09-14 18:01:04
51,48690,2,2021-09-14 18:01:04,2021-09-14 18:01:04
52,20629,2,2021-09-14 18:01:04,2021-09-14 18:01:04
53,16348,2,2021-09-14 18:01:04,2021-09-14 18:01:04
54,14494,2,2021-09-14 18:01:04,2021-09-14 18:01:04
62,14376,3,2021-09-14 18:07:35,2021-09-14 18:07:35
63,34193,3,2021-09-14 18:07:35,2021-09-14 18:07:35
64,39769,3,2021-09-14 18:07:35,2021-09-14 18:07:35
65,43487,3,2021-09-14 18:07:35,2021-09-14 18:07:35
67,48351,3,2021-09-14 18:07:35,2021-09-14 18:07:35
68,47541,3,2021-09-14 18:07:35,2021-09-14 18:07:35
69,10321,3,2021-09-14 18:07:35,2021-09-14 18:07:35
70,32206,3,2021-09-14 18:07:35,2021-09-14 18:07:35
71,26767,3,2021-09-14 18:07:35,2021-09-14 18:07:35
72,20163,3,2021-09-14 18:07:35,2021-09-14 18:07:35
73,16831,3,2021-09-14 18:07:35,2021-09-14 18:07:35
74,13275,3,2021-09-14 18:07:35,2021-09-14 18:07:35
75,11148,3,2021-09-14 18:07:35,2021-09-14 18:07:35
76,1449,3,2021-09-14 18:07:35,2021-09-14 18:07:35
77,9685,4,2021-09-14 18:12:10,2021-09-14 18:12:10
78,12537,4,2021-09-14 18:12:10,2021-09-14 18:12:10
79,14315,4,2021-09-14 18:12:10,2021-09-14 18:12:10
80,16392,4,2021-09-14 18:12:10,2021-09-14 18:12:10
81,19584,4,2021-09-14 18:12:10,2021-09-14 18:12:10
82,22317,4,2021-09-14 18:12:10,2021-09-14 18:12:10
83,30714,4,2021-09-14 18:12:10,2021-09-14 18:12:10
84,35746,4,2021-09-14 18:12:10,2021-09-14 18:12:10
85,39018,4,2021-09-14 18:12:10,2021-09-14 18:12:10
86,43838,4,2021-09-14 18:12:10,2021-09-14 18:12:10
87,47518,4,2021-09-14 18:12:10,2021-09-14 18:12:10
88,1935,4,2021-09-14 18:12:10,2021-09-14 18:12:10
89,2271,4,2021-09-14 18:12:10,2021-09-14 18:12:10
90,2734,4,2021-09-14 18:12:10,2021-09-14 18:12:10
91,3170,4,2021-09-14 18:12:10,2021-09-14 18:12:10
92,3801,4,2021-09-14 18:12:10,2021-09-14 18:12:10
93,4038,4,2021-09-14 18:12:10,2021-09-14 18:12:10
94,4699,4,2021-09-14 18:12:10,2021-09-14 18:12:10
95,5528,4,2021-09-14 18:12:10,2021-09-14 18:12:10
96,6283,4,2021-09-14 18:12:10,2021-09-14 18:12:10
97,7279,4,2021-09-14 18:12:10,2021-09-14 18:12:10
98,8403,4,2021-09-14 18:12:10,2021-09-14 18:12:10
108,9723,5,2021-09-14 18:16:25,2021-09-14 18:16:25
109,11110,5,2021-09-14 18:16:25,2021-09-14 18:16:25
110,12591,5,2021-09-14 18:16:25,2021-09-14 18:16:25
111,14438,5,2021-09-14 18:16:25,2021-09-14 18:16:25
112,16404,5,2021-09-14 18:16:25,2021-09-14 18:16:25
113,19568,5,2021-09-14 18:16:25,2021-09-14 18:16:25
114,22300,5,2021-09-14 18:16:25,2021-09-14 18:16:25
115,30546,5,2021-09-14 18:16:25,2021-09-14 18:16:25
116,30419,5,2021-09-14 18:16:25,2021-09-14 18:16:25
117,34119,5,2021-09-14 18:16:25,2021-09-14 18:16:25
118,33918,5,2021-09-14 18:16:25,2021-09-14 18:16:25
119,38344,5,2021-09-14 18:16:25,2021-09-14 18:16:25
120,38343,5,2021-09-14 18:16:25,2021-09-14 18:16:25
121,43105,5,2021-09-14 18:16:25,2021-09-14 18:16:25
122,47877,5,2021-09-14 18:16:25,2021-09-14 18:16:25
123,47870,5,2021-09-14 18:16:25,2021-09-14 18:16:25
124,3987,5,2021-09-14 18:16:25,2021-09-14 18:16:25
125,4623,5,2021-09-14 18:16:25,2021-09-14 18:16:25
126,5467,5,2021-09-14 18:16:25,2021-09-14 18:16:25
127,6407,5,2021-09-14 18:16:25,2021-09-14 18:16:25
128,7291,5,2021-09-14 18:16:25,2021-09-14 18:16:25
129,8453,5,2021-09-14 18:16:25,2021-09-14 18:16:25
130,2031,5,2021-09-14 18:16:25,2021-09-14 18:16:25
131,2421,5,2021-09-14 18:16:25,2021-09-14 18:16:25
132,2828,5,2021-09-14 18:16:25,2021-09-14 18:16:25
133,3382,5,2021-09-14 18:16:25,2021-09-14 18:16:25
139,9642,6,2021-09-14 18:25:59,2021-09-14 18:25:59
140,11022,6,2021-09-14 18:25:59,2021-09-14 18:25:59
141,12488,6,2021-09-14 18:25:59,2021-09-14 18:25:59
142,14318,6,2021-09-14 18:25:59,2021-09-14 18:25:59
143,16373,6,2021-09-14 18:25:59,2021-09-14 18:25:59
144,19531,6,2021-09-14 18:25:59,2021-09-14 18:25:59
145,22242,6,2021-09-14 18:25:59,2021-09-14 18:25:59
146,30783,6,2021-09-14 18:25:59,2021-09-14 18:25:59
147,34199,6,2021-09-14 18:25:59,2021-09-14 18:25:59
148,38761,6,2021-09-14 18:25:59,2021-09-14 18:25:59
149,44118,6,2021-09-14 18:25:59,2021-09-14 18:25:59
150,48068,6,2021-09-14 18:25:59,2021-09-14 18:25:59
151,1703,6,2021-09-14 18:25:59,2021-09-14 18:25:59
152,2048,6,2021-09-14 18:25:59,2021-09-14 18:25:59
153,2429,6,2021-09-14 18:25:59,2021-09-14 18:25:59
154,2829,6,2021-09-14 18:25:59,2021-09-14 18:25:59
155,3377,6,2021-09-14 18:25:59,2021-09-14 18:25:59
156,3988,6,2021-09-14 18:25:59,2021-09-14 18:25:59
157,4625,6,2021-09-14 18:25:59,2021-09-14 18:25:59
158,5452,6,2021-09-14 18:25:59,2021-09-14 18:25:59
159,6263,6,2021-09-14 18:25:59,2021-09-14 18:25:59
160,7282,6,2021-09-14 18:25:59,2021-09-14 18:25:59
161,8387,6,2021-09-14 18:25:59,2021-09-14 18:25:59
