id,pdga_event_id,event_name,start_date,end_date,city,state,country,tier,website_url,tournament_director
90974,90947,2025 PDGA Professional World Championships Presented By Discmania,2025-07-30,2025-08-03,Nokia,,Finland,M,https://www.pdga.com/tour/event/90947,Tapani Aulu
88678,88656,2025 United States Disc Golf Championship,2025-10-09,2025-10-12,Rock Hill,South Carolina,United States,M,https://www.pdga.com/tour/event/88656,Jonathan Poole
88677,88655,2025 PDGA Amateur World Championships,2025-08-19,2025-08-23,Columbia,Missouri,United States,M,https://www.pdga.com/tour/event/88655,Adam Morrison
88676,88654,2025 PDGA Junior World Championships,2025-07-15,2025-07-19,Emporia,Kansas,United States,M,https://www.pdga.com/tour/event/88654,Jackie Morris
88674,88652,2025 PDGA Professional Masters World Championships presented by ZÜCA,2025-07-01,2025-07-05,Twin Cities,Minnesota,United States,M,https://www.pdga.com/tour/event/88652,Jason Wilder
88673,88651,"2025 PDGA United States Women's Disc Golf Championships Presented by Discraft & SeehaferNews.com",2025-06-19,2025-06-22,Manitowoc,Wisconsin,United States,M,https://www.pdga.com/tour/event/88651,Jim Van Lanen
88662,88638,2025 PDGA Champions Cup by OTB & MVP Disc Sports,2025-05-01,2025-05-04,Stockton,California,United States,M,https://www.pdga.com/tour/event/88638,Sean Jack
88383,88357,DGPT - Preserve Championship,2025-06-13,2025-06-15,Clearwater,Minnesota,United States,NT,https://www.pdga.com/tour/event/88357,Tom Odegaard
88328,88302,The 10th Disc Golf Pro Tour Championship presented by Barbasol,2025-10-16,2025-10-19,Forest,Virginia,United States,NT,https://www.pdga.com/tour/event/88302,Nate Heinold
88327,88301,DGPT Playoffs - MVP Open x OTB,2025-09-25,2025-09-28,Leicester,Massachusetts,United States,NT,https://www.pdga.com/tour/event/88301,Steven Dodge
88325,88299,DGPT Playoffs - Green Mountain Championship,2025-09-18,2025-09-21,Jeffersonville,Vermont,United States,NT,https://www.pdga.com/tour/event/88299,Jeff Spring
88322,88296,DGPT+ Discraft Great Lakes Open presented by Gerrit J. Verburg Co.,2025-09-04,2025-09-07,Milford,Michigan,United States,NT,https://www.pdga.com/tour/event/88296,Nate Heinold
88320,88294,DGPT - LWS Open at Idlewild,2025-08-22,2025-08-24,Burlington,Kentucky,United States,NT,https://www.pdga.com/tour/event/88294,Adam Jones
88319,88293,DGPT+ Discraft Ledgestone Open presented by Züca,2025-08-14,2025-08-17,Peoria,Illinois,United States,NT,https://www.pdga.com/tour/event/88293,Nate Heinold
88314,88288,DGPT - Discmania Challenge presented by TruBank,2025-06-27,2025-06-29,Indianola,Iowa,United States,NT,https://www.pdga.com/tour/event/88288,Ty Tannatt
88312,88286,DGPT+ Northwest Disc Golf Championship presented by Latitude 64,2025-05-29,2025-06-01,Portland,Oregon,United States,NT,https://www.pdga.com/tour/event/88286,Brian Cole
88308,88282,DGPT - MVP Music City Open Presented by Another Round,2025-04-04,2025-04-06,Antioch,Tennessee,United States,NT,https://www.pdga.com/tour/event/88282,Zachary Hoy
88304,88277,DGPT - Prodigy presents WACO,2025-03-14,2025-03-16,Waco,Texas,United States,NT,https://www.pdga.com/tour/event/88277,Ryan Draper
87277,87231,30th Annual Texas State Disc Golf Championships - Supported by Innova,2025-03-28,2025-03-30,Houston,Texas,United States,A,https://www.pdga.com/tour/event/87231,Chris Vandagriff
87081,87074,47th Annual Wintertime Open (Amateur Weekend) - Presented by Legacy Discs,2025-02-07,2025-02-09,Pasadena,California,United States,B,https://www.pdga.com/tour/event/87074,Mike Jewel
87127,87073,47th Annual Wintertime Open (Pro Weekend) - Presented by Legacy Discs,2025-02-14,2025-02-16,Pasadena,California,United States,A,https://www.pdga.com/tour/event/87073,Steve Rico
86546,86528,Shelly Sharpe Memorial presented by Spinners on the Green,2025-02-14,2025-02-16,Scottsdale,Arizona,United States,A,https://www.pdga.com/tour/event/86528,Keith Murray
86541,86522,Memorial Championship presented by Discraft,2025-01-16,2025-01-19,Scottsdale,Arizona,United States,A,https://www.pdga.com/tour/event/86522,Keith Murray
86451,86425,Las Vegas Challenge presented by Innova,2025-05-15,2025-05-18,Henderson,Nevada,United States,A,https://www.pdga.com/tour/event/86425,Jeffrey Jacquart
82442,82419,"DGPT Playoffs - Discraft's Green Mountain Championship at Smugglers' Notch Resort",2024-09-19,2024-09-22,"Smugglers' Notch",Vermont,United States,NT,https://www.pdga.com/tour/event/82419,Jeff Spring
78293,78271,DGPT - The Preserve Championship connected by Microsoft Teams,2024-06-21,2024-06-23,Clearwater,Minnesota,United States,NT,https://www.pdga.com/tour/event/78271,Tom Odegaard
