id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
1,3090,Elaine,King,Durham,NC,US,CA,1985
2,4297,Ken,Climo,Clearwater,FL,US,NULL,1987
3,7495,Avery,Jenkins,Pawhuska,OK,US,US,1993
4,8332,Simon,Lizotte,Grafton,MA,US,DE,2005
5,10738,Terry,Miller,Pewaukee,WI,US,NULL,1996
6,11534,Nikko,Locastro,Saint Louis,MO,US,NULL,1996
7,11674,Eric,McCabe,Emporia,KS,US,NULL,1996
8,11794,Nate,Doss,Bend,OR,US,US,1994
9,13864,Garrett,Gurthie,Hawthorne,FL,US,NULL,1998
10,15354,Jennifer,Allen,Gilbert,AZ,US,NULL,1999
11,15857,Gregg,Barsby,Grass Valley,CA,US,NULL,1999
12,17295,James,Conrad,Blacksburg,VA,US,NULL,2000
13,18824,Nathan,Sexton,Salem,OR,US,US,2001
14,24341,Cale,Leiviska,Saint Paul,MN,US,NULL,2004
15,25890,A.J.,Risley,San Marcos,CA,US,NULL,2004
16,26045,Matt,Dollar,Newnan,GA,US,NULL,2005
17,26228,Dana,Vicich,Mokena,IL,US,NULL,2005
18,26416,Philo,Brathwaite,Spokane,WA,US,NULL,2005
19,26860,Trevor,Harbolt,Elizabethtown,KY,US,NULL,2005
20,27171,Paul,Ulibarri,Rock Hill,SC,US,NULL,2005
21,27523,Paul,McBeth,Huntington Beach,CA,US,NULL,2005
22,27832,Kona Star,Montgomery,Rancho Cucamonga,CA,US,NULL,2005
23,29064,Will,Schusterick,Dalton,GA,US,US,2006
24,29190,Paige,Pierce,Pensacola,FL,US,NULL,2006
25,32654,Lisa,Fajkus,Canyon Lake,TX,US,NULL,2007
26,32917,Rebecca,Cox,Cincinnati,OH,US,NULL,2007
27,33705,Jeremy,Koling,Mount Holly,NC,US,NULL,2007
28,33833,Paige,Shue,Augusta,GA,US,NULL,2007
29,34563,Sarah,Hokom,Caldwell,ID,US,NULL,2008
30,35187,Dustin,Keegan,Eugene,OR,US,NULL,2008
31,35876,Colten,Montgomery,Berthoud,CO,US,NULL,2008
32,36744,Seppo,Paju,Kaarina,NULL,FI,NULL,2008
33,37817,Eagle,McMahon,Boulder,CO,US,US,2008
34,38008,Richard,Wysocki,Scottsdale,AZ,US,NULL,2009
35,38631,Zach,Melton,Kingsport,TN,US,NULL,2009
36,39504,Zoe,AnDyke,Leaburg,OR,US,NULL,2009
37,41760,Kevin,Jones,Greenwood,AR,US,NULL,2009
38,43762,Jake,Hebenheimer,Jefferson Cty,MO,US,US,2010
39,43994,Jeff,Spring,Jeffersonville,VT,US,NULL,2010
40,44184,Catrina,Allen,Sioux Falls,SD,US,NULL,2010
41,44382,Anthony,Barela,Mesa,AZ,US,NULL,2010
42,45879,Brian,Earhart,Charlotte,NC,US,NULL,2010
43,45971,Calvin,Heimburg,Safety Harbor,FL,US,NULL,2010
44,47472,Emerson,Keith,Terrell,TX,US,US,2011
45,48338,Reid,Frescura,Appling,GA,US,NULL,2011
46,48346,Drew,Gibson,San Tan Valley,AZ,US,NULL,2011
47,50312,Zackeriath,Johnson,Eureka,MO,US,NULL,2011
48,50401,Chris,Clemons,Kansas City,MO,US,US,2011
49,50656,Jessica,Gurthie,Grass Valley,CA,US,NULL,2011
50,50671,Ezra,Robinson,Lawrenceville,GA,US,NULL,2011
51,51277,Holly,Finley,Denver,NC,US,NULL,2012
52,53565,Eric,Oakley,Pensacola,FL,US,NULL,2012
53,56555,Noah,Meintsma,Minneapolis,MN,US,NULL,2013
54,57365,Adam,Hammes,Minocqua,WI,US,NULL,2013
55,57493,Terry,Rothlisberger,Rosemount,MN,US,NULL,2013
56,58276,Ellen,Widboom,Brooksville,FL,US,NULL,2013
57,58644,Lance,Brown,Burlington,NC,US,US,2013
58,59227,Henna,Blomroos,Rauma,NULL,FI,NULL,2013
59,59431,Madison,Walker,Pensacola,FL,US,NULL,2013
60,59635,Väinö,Mäkelä,Turku,NULL,FI,NULL,2013
61,61144,Emily,Beach,Ninnekah,OK,US,NULL,2013
62,61523,Jonathan,Boothe,Fort Collins,CO,US,NULL,2013
63,61770,AJ,Carey,Shelby,NC,US,US,2013
64,62325,Vanessa,Van Dyken,Poway,CA,US,NULL,2013
65,62467,Chris,Dickerson,Gray,TN,US,US,2013
66,62879,Valerie,Mandujano,San Antonio,TX,US,NULL,2014
68,63765,Andrew,Presnell,Ozark,MO,US,NULL,2014
69,64751,Callie,McMorran,Eads,TN,US,NULL,2014
70,64927,Eveliina,Salonen,Pirkkala,NULL,FI,FI,2014
71,65737,Nate,Perkins,Bend,OR,US,NULL,2014
72,65961,Shannon,Prendergast,Austin,TX,US,NULL,2014
73,66842,Deann,Carey,Shelby,NC,US,NULL,2014
74,66939,Hannah,McBeth,Jacksonville Beach,FL,US,NULL,2014
75,68076,Tina,Oakley,Pensacola,FL,US,NULL,2014
76,68285,Grady,Shue,Augusta,GA,US,NULL,2014
77,68835,Austin,Hannum,Perry,OK,US,NULL,2014
78,69287,Jeffrey,Korns,Eugene,OR,US,US,2014
79,69424,Luke,Humphries,Wichita,KS,US,NULL,2014
80,69509,Joel,Freeman,Greeley,CO,US,NULL,2014
81,70634,Courtney,Cannon,Alvin,TX,US,US,2015
82,73986,Kristin,Lätt,Pärnu,68,EE,EE,2015
83,75029,Cynthia,Ricciotti,Columbia,MO,US,US,2015
84,75590,Andrew,Marwede,Alpena,MI,US,NULL,2015
85,77807,Hunter,Thomas,Lynchburg,VA,US,NULL,2015
86,81351,Hailey,King,Charlotte,NC,US,US,2016
87,81739,Casey,White,Shirley,MA,US,NULL,2016
88,85132,Kyle,Klein,Norton Shores,MI,US,US,2016
89,85850,Thomas,Gilbert,Toronto,ON,CA,CA,2016
90,85942,Missy,Gannon,Beacon,NY,US,NULL,2016
91,88568,Christine,Jennings,Beavercreek,OH,US,NULL,2016
92,98091,Alden,Harris,Woodstock,GA,US,NULL,2017
93,99053,Tristan,Tanner,Longmont,CO,US,NULL,2017
94,99455,Kat,Mertsch,Rose Bud,AR,US,US,2017
95,100965,Heather,Young,Kingston,TN,US,NULL,2017
97,121715,Ezra,Aderhold,Aberdeen,SD,US,US,2019
98,128378,Brodie,Smith,Dallas,TX,US,US,2019
99,139109,Leah,Tsinajinnie,Atlanta,GA,US,NULL,2020
100,24781,Dion,Arlyn,Lexington,SC,US,NULL,2004
101,18330,Matthew,Orum,Satsuma,AL,US,NULL,2001
102,7438,Juliana,Korver,Orange City,IA,US,NULL,1993
103,49431,Jordan,Castro,Scottsdale,AZ,US,NULL,2011
104,17495,Valarie,Jenkins,Bend,OR,US,NULL,2000
105,58320,Andrew,Fish,Baltimore,MD,US,NULL,2013
106,25541,Chandler,Fry,Olympia,WA,US,NULL,2004
107,144112,Ella,Hansen,Seattle,WA,US,US,2020
108,58303,Sai,Ananda,Spokane Valley,WA,US,NULL,2013
109,62880,Alexis,Mandujano,San Antonio,TX,US,NULL,2014
110,48976,Ohn,Scoggins,Los Angeles,CA,US,US,2011
111,72844,Mason,Ford,San Antonio,TX,US,US,2015
113,58923,Jesse,Nieminen,Kuopio,NULL,FI,NULL,2013
114,91249,Niklas,Anttila,Kuopio,NULL,FI,FI,2017
115,82297,Lauri,Lehtinen,Jyväskylä,NULL,FI,NULL,2016
116,35070,Knut,Valen Håland,Fiskarstrand,NULL,NO,NULL,2008
117,76669,Albert,Tamm,Tartu,78,EE,EE,2015
119,80554,Blær Örn,Ásgeirsson,Reykjavik,NULL,IS,IS,2016
120,80974,Severi,Saviniemi,Littoinen,NULL,FI,NULL,2016
121,64889,Mikael,Häme,Lahti,NULL,FI,NULL,2014
122,12626,David,Feldberg,Eatonton,GA,US,NULL,1997
123,68286,Nathan,Queen,Kernersville,NC,US,NULL,2014
125,34250,James,Proctor,Rohnert Park,CA,US,NULL,2008
126,50670,Isaac,Robinson,Lawrenceville,GA,US,NULL,2011
127,38464,Scott,Withers,Jefferson,OR,US,NULL,2009
128,10628,Steve,Brinster,Warwick,NY,US,NULL,1996
129,12827,Cameron,Todd,Darlington,SC,US,NULL,1997
130,3140,Scott,Stokely,Houston,TX,US,US,1986
131,4666,Steven,Rico,Sylmar,CA,US,NULL,1988
132,6840,Barry,Schultz,Hamptonville,NC,US,NULL,1992
133,82935,Nicholas,Carl,Paxton,MA,US,NULL,2016
134,9852,JohnE,McCray,Zephyrhills,FL,US,NULL,1995
135,60436,Gavin,Rathbun,Montgomery,IL,US,NULL,2013
136,39015,Benjamin,Callaway,Quad Cities,IA,US,NULL,2009
137,44512,Corey,Ellis,Barboursville,WV,US,US,2010
138,79748,Cole,Redalen,Portland,OR,US,US,2015
139,48950,Matt,Bell,Sperry,OK,US,US,2011
140,122208,Stacie,Rawnsley,Fishers,IN,US,NULL,2019
141,25596,Kyle,Crabtree,Edgewood,WA,US,NULL,2004
142,15863,Des,Reading,Wimberley,TX,US,NULL,1999
143,17946,Joshua,Anthon,Elverta,CA,US,NULL,2001
144,47407,Cameron,Colglazier,Mobile,AL,US,NULL,2011
147,75412,Gannon,Buhr,Urbandale,IA,US,US,2015
148,70955,Phill,Diloné,Beverly Hills,MI,US,US,2015
149,12989,Brian,Schweberger,Tarboro,NC,US,US,1997
150,23651,Coda,Hatfield,Edmond,OK,US,NULL,2003
151,66362,Alex,Russell,Vancouver,WA,US,NULL,2014
152,20300,Michael,Johansen,Denver,NC,US,NULL,2002
153,101390,Jonathan,Nicholson,Plano,TX,US,US,2017
154,7225,Darrell,Nodland,Dickinson,ND,US,NULL,1993
155,5557,Mike,Moser,Wilmington,DE,US,NULL,1990
156,27984,Christian,Dietrich,Helena,MT,US,NULL,2005
157,24900,Brent,Koontz,Fort Wayne,IN,US,NULL,2004
158,58814,Cameron,Messerschmidt,Vancouver,WA,US,NULL,2013
159,60399,Cole,Wehrheim,Lighthouse Point,FL,US,NULL,2013
160,7992,Brad,Schick,Galena,OH,US,NULL,1993
161,10977,Susan,Stephens,Dorr,MI,US,NULL,1996
162,11193,Deb,Renner,Sarasota,FL,US,NULL,1996
164,13526,Lesli,Todd,Los Angeles,CA,US,NULL,1998
165,13815,Carrie,Berlogar,Mckinleyville,CA,US,NULL,1998
